,ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal,Color,BCPY,Score
1741,ABTA ACONTa ADNK1 ALATA_L AST GLUR MALS MCITS NDPK3 ORNCD PDHcr PGI TALA,13,0.22812268,0.87858847,0.417326238671227,1.09831444807608,#1f9e89,0.20042595639349958,0.3088760975323633
1740,ABTA ACONTa ADNK1 ALATA_L AST GLUR MALS MICITDr NDPK3 ORNCD PDHcr PGI TALA,13,0.22812268,0.87858847,0.417326238671227,1.09831444807608,#1f9e89,0.20042595639349958,0.3088760975323633
1739,ABTA ACONTa ADNK1 ALATA_L AST FALDM GLUR MALS MICITDr NDPK3 ORNCD PDHcr PGI TALA,14,0.22812137,0.87858885,0.417326311866354,1.09831562421768,#1f9e89,0.2004248921287245,0.3088756019975393
1738,ABTA ACONTa ADNK1 ALATA_L AST FALDM GLUR MALS MCITS NDPK3 ORNCD PDHcr PGI TALA,14,0.22812137,0.87858885,0.417326311866354,1.09831562421768,#1f9e89,0.2004248921287245,0.3088756019975393
1737,ABTA ACONTa ALATA_L AST CYTK1 GLUR MALS MCITS ORNCD PDHcr PGI PYK TALA,13,0.22805436,0.87860836,0.426277445430116,1.09515705948361,#1f9e89,0.2003704672304496,0.31332395633028276
1736,ABTA ACONTa ALATA_L AST CYTK1 GLUR MALS MCITS NDPK3 ORNCD PDHcr PGI PYK TALA,14,0.22803514,0.87861395,0.42627789734512,1.09517459495915,#1f9e89,0.200354855094203,0.3133163762196615
1625,AST CS MALS MCITS ORNCD PDHa PDHcr PGI SERAT TALA,10,0.21900573,0.91262685,0.588151369372847,1.0394799274135,#35b779,0.1998705095018505,0.3940109394373487
1624,ACOAD7f CS GART HIUHY MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA,12,0.21900395,0.91262711,0.101225251873311,1.21800233323517,#3e4989,0.1998689419670845,0.15054709692019774
1623,ADPT AST CS MALS MCITS ORNCD PDHa PDHcr PGI SERAT TALA,11,0.21900154,0.91262747,0.588151891534644,1.03948418340154,#35b779,0.1998668213763038,0.39400935645547386
1622,ADPT CS MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA,10,0.21899976,0.91262773,0.0808109561398607,1.22597885829739,#3e4989,0.19986525383934478,0.14033810498960275
1615,ACOAD8f APATr CS ECOAH28 GART KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21899081,0.91266053,0.103777094573055,1.21701311700395,#3e4989,0.19986426871972932,0.15182068164639217
1616,ACOAD24f APATr CS GART KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21899081,0.91266053,0.103777094573055,1.21701311700395,#3e4989,0.19986426871972932,0.15182068164639217
1614,APATr CS ECOAH28 GART KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21899081,0.91266053,0.103777094573055,1.21701311700395,#3e4989,0.19986426871972932,0.15182068164639217
1617,ACOAD24f ACOAD8f APATr CS GART KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21899081,0.91266053,0.103777094573055,1.21701311700395,#3e4989,0.19986426871972932,0.15182068164639217
1621,CS MALS MICITDr ORNCD PDHbr PDHcr PGI TALA URIDK2r,9,0.21899455,0.9126285,0.0819229063006363,1.22554841194492,#3e4989,0.199860667674675,0.14089178698765564
1613,ADPT CS MALS MICITDr ORNCD PDHbr PDHcr PGI TALA UPPN,10,0.21898662,0.91266115,0.0808126542160429,1.22598321139605,#3e4989,0.199860580443813,0.14033661732992794
1620,CS MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA URIDK2r,10,0.21899277,0.91262876,0.080811115362393,1.22598506794547,#3e4989,0.19985910013406522,0.1403351077482291
1612,ACOAD7f AGMT APATr CS GART GLYCK HIUHY MALS MCCC MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,18,0.21897963,0.91266218,0.10122722373766,1.21801671221185,#3e4989,0.1998544264913934,0.1505408251145267
1611,ACOAD8f ADPT CS GART KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,16,0.21897545,0.9126628,0.101227375032224,1.21802042787648,#3e4989,0.19985074732826,0.150539061180242
1610,ADPT CS GART KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,16,0.21897545,0.9126628,0.101227375032224,1.21802042787648,#3e4989,0.19985074732826,0.150539061180242
1619,AST CS MALS MCITS ORNCD ORNDC PDHa PDHcr PGI SERAT TALA,11,0.21893721,0.91263698,0.588159956911847,1.03954952231737,#35b779,0.19981019414402582,0.3939850755279364
1618,ADPT AST CS MALS MCITS ORNCD ORNDC PDHa PDHcr PGI SERAT TALA,12,0.21893303,0.91263759,0.588160498212627,1.03955376468436,#35b779,0.1998065128705977,0.3939835055416123
1608,ACOAD24f CS GART KAT21 KAT8 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21892112,0.91267082,0.101228652585004,1.21806900589344,#3e4989,0.1998029181057184,0.1505157853453612
1607,ACOAD8f CS ECOAH28 GART KAT21 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21892112,0.91267082,0.101228652585004,1.21806900589344,#3e4989,0.1998029181057184,0.1505157853453612
1606,CS ECOAH28 GART KAT21 KAT8 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21892112,0.91267082,0.101228652585004,1.21806900589344,#3e4989,0.1998029181057184,0.1505157853453612
1609,ACOAD24f ACOAD8f CS GART KAT21 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21892112,0.91267082,0.101228652585004,1.21806900589344,#3e4989,0.1998029181057184,0.1505157853453612
1604,ACOAD8f ADPT CS MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,15,0.21891694,0.91267144,0.101228803947287,1.21807272252331,#3e4989,0.1997992388701936,0.15051402140874032
1605,ADPT CS KAT8 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,15,0.21891694,0.91267144,0.101228803947287,1.21807272252331,#3e4989,0.1997992388701936,0.15051402140874032
1603,CS MALS MICITDr ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,11,0.21890995,0.91267247,0.0808145997932025,1.22605125462998,#3e4989,0.19979308477407648,0.14030384228363948
1602,ADPT CS MALS MICITDr ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,12,0.21890577,0.91267309,0.0808147268114495,1.22605495617757,#3e4989,0.1997894055247293,0.14030206616808938
1735,ABTA ACONTa ALATA_L APATr AST CS GART GLUR HACD6i KAT20 MALS MCITS ORNCD PDHcr PGI PYK SERAT SUCOAS TALA,19,0.2272376,0.87884613,0.628052839846927,1.02587961449599,#6ece58,0.199706885350488,0.41387986259870746
1601,ACOAD7f CS GART GLYCK HIUHY IMPD MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI TALA,14,0.21853405,0.91269657,0.101236718030897,1.21842263969666,#3e4989,0.19945527786320852,0.15034599794705275
1600,ACOAD7f AGMT APATr CS GLYCK HIUHY IMPD MALS MCCC MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA,16,0.21853228,0.91269683,0.101236760079563,1.21842422537932,#3e4989,0.1994537192086724,0.1503452396441177
1599,ADPT CS IMPD MALS MICITDr ORNCD PDHbr PDHcr PGI TALA,10,0.21852988,0.91269719,0.080822677429741,1.22639627413173,#3e4989,0.1994516074070372,0.1401371424183891
1598,ACOAD8f ADPT APATr CS IMPD MALS MCCC MICITDr NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA,15,0.21852811,0.91269745,0.101236861472879,1.21842795866856,#3e4989,0.1994500487503195,0.15034345511159924
1597,ADPT APATr CS IMPD KAT8 MALS MCCC MICITDr NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA,15,0.21852811,0.91269745,0.101236861472879,1.21842795866856,#3e4989,0.1994500487503195,0.15034345511159924
1594,ACOAD8f CS IMPD KAT21 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,13,0.2185192,0.91273018,0.101238472408832,1.21842859521587,#3e4989,0.19944906874945598,0.150343770579144
1593,CS IMPD KAT21 KAT8 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,13,0.2185192,0.91273018,0.101238472408832,1.21842859521587,#3e4989,0.19944906874945598,0.150343770579144
1596,CS IMPD MALS MICITDr ORNCD PDHbr PDHcr PGI TALA URIDK2r,10,0.21852292,0.91269821,0.0808228720355741,1.22640245740183,#3e4989,0.1994454779279732,0.14013417498177366
1592,ADPT CS ECOAH28 GART IMPD KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21851503,0.91273079,0.101238573840893,1.21843233090081,#3e4989,0.1994453959587737,0.15034198489983336
1591,ACOAD8f ADPT CS ECOAH28 GART IMPD MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21851503,0.91273079,0.101238573840893,1.21843233090081,#3e4989,0.1994453959587737,0.15034198489983336
1590,ACOAD24f ACOAD8f ADPT CS GART IMPD MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21851503,0.91273079,0.101238573840893,1.21843233090081,#3e4989,0.1994453959587737,0.15034198489983336
1589,ACOAD24f ADPT CS GART IMPD KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21851503,0.91273079,0.101238573840893,1.21843233090081,#3e4989,0.1994453959587737,0.15034198489983336
1595,CS IMPD MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA URIDK2r,11,0.21852115,0.91269848,0.080822886022703,1.22640404151196,#3e4989,0.199443921452852,0.1401334037377775
1586,ACOAD8f ALATA_L APATr CS ECOAH28 GART IMPD KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,19,0.21850807,0.91273182,0.101238732281146,1.2184385678179,#3e4989,0.19943926841578738,0.1503390003484667
1585,ALATA_L APATr CS ECOAH28 GART IMPD KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,19,0.21850807,0.91273182,0.101238732281146,1.2184385678179,#3e4989,0.19943926841578738,0.1503390003484667
1587,ACOAD24f ALATA_L APATr CS GART IMPD KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,19,0.21850807,0.91273182,0.101238732281146,1.2184385678179,#3e4989,0.19943926841578738,0.1503390003484667
1588,ACOAD24f ACOAD8f ALATA_L APATr CS GART IMPD KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,19,0.21850807,0.91273182,0.101238732281146,1.2184385678179,#3e4989,0.19943926841578738,0.1503390003484667
1584,ACOAD8f ADPT CS GART IMPD KAT21 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,17,0.2185039,0.91273244,0.101238833723334,1.21844230152234,#3e4989,0.19943559779651598,0.15033721575992498
1583,ADPT CS GART IMPD KAT21 KAT8 MALS MCCC MICITDr ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,17,0.2185039,0.91273244,0.101238833723334,1.21844230152234,#3e4989,0.19943559779651598,0.15033721575992498
1582,CS ECOAH28 GART IMPD KAT21 KAT8 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,17,0.21844981,0.91274042,0.103555869423736,1.21758882860715,#3e4989,0.1993879713283202,0.1514719203760281
1581,ACOAD24f ACOAD8f CS GART IMPD KAT21 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,17,0.21844981,0.91274042,0.103555869423736,1.21758882860715,#3e4989,0.1993879713283202,0.1514719203760281
1580,ACOAD24f CS GART IMPD KAT21 KAT8 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,17,0.21844981,0.91274042,0.103555869423736,1.21758882860715,#3e4989,0.1993879713283202,0.1514719203760281
1579,ACOAD8f CS ECOAH28 GART IMPD KAT21 MALS MCCC MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,17,0.21844981,0.91274042,0.103555869423736,1.21758882860715,#3e4989,0.1993879713283202,0.1514719203760281
1575,ACOAD24f ACOAD8f ADPT APATr CS GART IMPD MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,18,0.21844565,0.91274104,0.101240285627111,1.21849446388791,#3e4989,0.199384309764476,0.1503122976957935
1576,ACOAD24f ADPT APATr CS GART IMPD KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,18,0.21844565,0.91274104,0.101240285627111,1.21849446388791,#3e4989,0.199384309764476,0.1503122976957935
1577,ACOAD8f ADPT APATr CS ECOAH28 GART IMPD MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,18,0.21844565,0.91274104,0.101240285627111,1.21849446388791,#3e4989,0.199384309764476,0.1503122976957935
1578,ADPT APATr CS ECOAH28 GART IMPD KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,18,0.21844565,0.91274104,0.101240285627111,1.21849446388791,#3e4989,0.199384309764476,0.1503122976957935
1574,ACOAD24f ACOAD8f APATr CS GART KAT21 MALS MCCC MICITDr NDPK3 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21844517,0.91274111,0.103556100599523,1.21759294127699,#3e4989,0.1993838869399387,0.15146999376973086
1573,ACOAD24f APATr CS GART KAT21 KAT8 MALS MCCC MICITDr NDPK3 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21844517,0.91274111,0.103556100599523,1.21759294127699,#3e4989,0.1993838869399387,0.15146999376973086
1572,ACOAD8f APATr CS ECOAH28 GART KAT21 MALS MCCC MICITDr NDPK3 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21844517,0.91274111,0.103556100599523,1.21759294127699,#3e4989,0.1993838869399387,0.15146999376973086
1571,APATr CS ECOAH28 GART KAT21 KAT8 MALS MCCC MICITDr NDPK3 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21844517,0.91274111,0.103556100599523,1.21759294127699,#3e4989,0.1993838869399387,0.15146999376973086
1570,ADPT CS MALS MICITDr NDPK3 ORNCD PDHbr PDHcr PGI TALA UPPN,11,0.21844101,0.91274172,0.0808263521579578,1.22646800110608,#3e4989,0.19938022318593718,0.1401032876719475
1569,ACOAD7f AGMT APATr CS GART GLYCK HIUHY IMPD MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,19,0.21843869,0.91274207,0.10124044417223,1.21850070271811,#3e4989,0.1993781820786883,0.15030931312545914
1568,ACOAD24f ADPT APATr CS GART IMPD KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,18,0.21843452,0.91274268,0.101240545679318,1.21850443973234,#3e4989,0.1993745091893136,0.1503075274343158
1567,ACOAD8f ADPT APATr CS ECOAH28 GART IMPD MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,18,0.21843452,0.91274268,0.101240545679318,1.21850443973234,#3e4989,0.1993745091893136,0.1503075274343158
1565,ADPT APATr CS ECOAH28 GART IMPD KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,18,0.21843452,0.91274268,0.101240545679318,1.21850443973234,#3e4989,0.1993745091893136,0.1503075274343158
1566,ACOAD24f ACOAD8f ADPT APATr CS GART IMPD MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,18,0.21843452,0.91274268,0.101240545679318,1.21850443973234,#3e4989,0.1993745091893136,0.1503075274343158
1563,ACOAD7f AGMT APATr CS GART HIUHY MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,17,0.21843405,0.91274275,0.101240580394861,1.21850485159805,#3e4989,0.1993740954906375,0.15030733794274925
1564,AGMT APATr CS GART GLYCK HIUHY MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,17,0.21843405,0.91274275,0.101240580394861,1.21850485159805,#3e4989,0.1993740954906375,0.15030733794274925
1559,ADPT APATr CS ECOAH28 GART GLUR HIUHY KAT21 KAT8 MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,21,0.21842988,0.91274337,0.101240636125424,1.21850860435936,#3e4989,0.1993704247798956,0.15030553045265982
1560,ACOAD8f ADPT APATr CS ECOAH28 GART GLUR HIUHY KAT21 MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,21,0.21842988,0.91274337,0.101240636125424,1.21850860435936,#3e4989,0.1993704247798956,0.15030553045265982
1561,ACOAD24f ADPT APATr CS GART GLUR HIUHY KAT21 KAT8 MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,21,0.21842988,0.91274337,0.101240636125424,1.21850860435936,#3e4989,0.1993704247798956,0.15030553045265982
1562,ACOAD24f ACOAD8f ADPT APATr CS GART GLUR HIUHY KAT21 MALS MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,21,0.21842988,0.91274337,0.101240636125424,1.21850860435936,#3e4989,0.1993704247798956,0.15030553045265982
1558,CS MALS MICITDr NDPK3 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,11,0.21837583,0.91275135,0.101241973527931,1.21855702519641,#3e4989,0.1993228336398705,0.15028240358390074
1554,ADPT APATr CS ECOAH28 GART KAT8 MALS MCCC MICITDr NDPK3 NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,18,0.21837167,0.91275196,0.101242116250702,1.21856073783992,#3e4989,0.1993191698009732,0.1502806430258376
1557,ACOAD24f ACOAD8f ADPT APATr CS GART MALS MCCC MICITDr NDPK3 NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,18,0.21837167,0.91275196,0.101242116250702,1.21856073783992,#3e4989,0.1993191698009732,0.1502806430258376
1556,ACOAD24f ADPT APATr CS GART KAT8 MALS MCCC MICITDr NDPK3 NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,18,0.21837167,0.91275196,0.101242116250702,1.21856073783992,#3e4989,0.1993191698009732,0.1502806430258376
1555,ACOAD8f ADPT APATr CS ECOAH28 GART MALS MCCC MICITDr NDPK3 NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,18,0.21837167,0.91275196,0.101242116250702,1.21856073783992,#3e4989,0.1993191698009732,0.1502806430258376
1553,CS MALS MICITDr NDPK3 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,12,0.21836471,0.91275299,0.0808282162442824,1.22653591094731,#3e4989,0.19931304196298288,0.14007062910363263
1552,ADPT CS MALS MICITDr NDPK3 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN URIDK2r,13,0.21836055,0.91275361,0.101242371847845,1.21857070721089,#3e4989,0.1993093802940855,0.15027587607096524
1551,CS CYTK1 GLUR MALS MICITDr ORNCD PDHbr PDHcr PGI TALA UPPN,11,0.21835242,0.91275481,0.101242523439859,1.21857801139985,#3e4989,0.1993022216301402,0.1502723725349996
1550,ADPT CS CYTK1 ECOAH28 KAT8 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,14,0.21834826,0.91275542,0.101242666188409,1.21858172442755,#3e4989,0.1992985577625692,0.1502706119754891
1549,ACOAD8f ADPT CS CYTK1 ECOAH28 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,14,0.21834826,0.91275542,0.101242666188409,1.21858172442755,#3e4989,0.1992985577625692,0.1502706119754891
1548,ACOAD24f ACOAD8f ADPT CS CYTK1 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,14,0.21834826,0.91275542,0.101242666188409,1.21858172442755,#3e4989,0.1992985577625692,0.1502706119754891
1547,ACOAD24f ADPT CS CYTK1 KAT8 MALS MICITDr NTD2 ORNCD PDHbr PDHcr PGI TALA UPPN,14,0.21834826,0.91275542,0.101242666188409,1.21858172442755,#3e4989,0.1992985577625692,0.1502706119754891
1546,CS CYTK1 MALS MICITDr ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,11,0.21834131,0.91275645,0.0808288179639483,1.22655672998022,#3e4989,0.19929243900394952,0.1400606284839489
1545,ADPT CS CYTK1 MALS MICITDr ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,12,0.21833715,0.91275706,0.0808288923804309,1.22656044520634,#3e4989,0.199288775122779,0.14005883375160494
1544,ACOAD24f ACOAD8f CS CYTK1 GART MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.2183348,0.91275741,0.10356814396972,1.21768826998083,#3e4989,0.199286706560868,0.151427425265294
1543,ACOAD24f CS CYTK1 GART KAT8 MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.2183348,0.91275741,0.10356814396972,1.21768826998083,#3e4989,0.199286706560868,0.151427425265294
1542,ACOAD8f CS CYTK1 ECOAH28 GART MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.2183348,0.91275741,0.10356814396972,1.21768826998083,#3e4989,0.199286706560868,0.151427425265294
1541,CS CYTK1 ECOAH28 GART KAT8 MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.2183348,0.91275741,0.10356814396972,1.21768826998083,#3e4989,0.199286706560868,0.151427425265294
1540,ACOAD8f ADPT APATr CS CYTK1 MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21833064,0.91275802,0.101243096250714,1.21859751649003,#3e4989,0.19928304267173277,0.1502630694612234
1539,ADPT APATr CS CYTK1 KAT8 MALS MCCC MICITDr NDPK3 NTD2 ORNCD PDHbr PDHcr PGI R15BPK TALA UPPN,17,0.21833064,0.91275802,0.101243096250714,1.21859751649003,#3e4989,0.19928304267173277,0.1502630694612234
1538,CS CYTK1 MALS MICITDr NDPK3 ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,12,0.21832369,0.91275905,0.101243250331652,1.21860375091989,#3e4989,0.1992769238768945,0.15026008710427324
1537,ADPT CS CYTK1 MALS MICITDr NDPK3 ORNCD PDHbr PDHcr PGI TALA UPPN URIDK2r,13,0.21831953,0.91275966,0.080829323881377,1.22657613310632,#3e4989,0.19927325997415982,0.1400512919277684
1535,ACOAD8f CS CYTK1 GART KAT21 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21828314,0.91276504,0.101244237186619,1.21864009980666,#3e4989,0.1992412190134256,0.1502427281000223
1536,CS CYTK1 GART KAT21 KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN,16,0.21828314,0.91276504,0.101244237186619,1.21864009980666,#3e4989,0.1992412190134256,0.1502427281000223
1534,ACOAD8f ADPT CS CYTK1 GART KAT21 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21827898,0.91276565,0.101244334200206,1.21864383181583,#3e4989,0.19923755506103702,0.15024094463062151
1533,ADPT CS CYTK1 GART KAT21 KAT8 MALS MICITDr NTD2 ORNCD ORNDC PDHbr PDHcr PGI TALA UPPN,16,0.21827898,0.91276565,0.101244334200206,1.21864383181583,#3e4989,0.19923755506103702,0.15024094463062151
1531,APATr CS CYTK1 GART GLUR KAT8 MALS MICITDr ORNCD ORNDC PDHbr PDHcr PGI R15BPK TALA UPPN URIDK2r,17,0.21827203,0.91276668,0.082740743282591,1.22587137520474,#3e4989,0.19923143615996042,0.14098608972127571
