ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACONTa ADPT AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,12,0.066227,1.28233782,1,1.07032680694344
AST CS ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,11,0.06622987,1.28232966,1,1.0703228660229
ACONTa AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,11,0.06622987,1.28232966,1,1.0703228660229
ACOAD25f ACOAD7f ACONTa ADNK1 ADPT AST CS CSND ENO FACOAE80 GLUCYS GLUR GLYCTO1 GUAD INSH ORNCD P5CD PC PDHbr PDHcr PGI PMANM SERAT SSALx TALA THRS,26,0.06675353,1.27929336,0.61284534316013,1.17290119457005
3HBCD ACOAD6f ACOAD7f ACONTa ADPT APATr AST CS ECOAH2 ENO FACOAE80 GLYCTO1 GPDDA4 HACD20i INSH ORNCD OXPTNDH PC PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS,26,0.06676657,1.27926933,0.612824651618317,1.17288888916419
ACONTa APATr AST CS CSND ECOAH2 ENO FACOAE80 GLYCTO1 HPYRRy INSH ORNCD OXPTNDH PC PDHbr PDHcr PGI PPK50r TALA THRD_L THRS,21,0.06676877,1.27926503,0.905657090882459,1.09270027392141
ADNK1 ADPT AST CS ENO GART GLYCTO1 INSH P5CD PDHbr PDHcr PGI TALA THRS,14,0.06633284,1.27864401,1,1.07078955763622
ACONTa ADNK1 ADPT AST ENO GART GLYCTO1 INSH P5CD PDHbr PDHcr PGI TALA THRS,14,0.06633284,1.27864401,1,1.07078955763622
ADPT AST CS ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,12,0.06634984,1.27859636,1,1.07076614426709
ACONTa ADPT AST ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,12,0.06634984,1.27859636,1,1.07076614426709
AST CS ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,11,0.06635271,1.27858801,1,1.0707622465268
ACONTa AST ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,11,0.06635271,1.27858801,1,1.0707622465268
ABTA ACONTa ADNK1 ADPT ALATA_L AST CS CSND CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HEPCT INSH PDHbr PDHcr PGI PROD2 SERAT TALA THRAr,25,0.06755319,1.27657101,0.897802457589346,1.09370563477088
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND GLYCTO1 GTPDPK HACD7i INSH NDPK3 P5CD PDHbr PDHcr PGI PGM PPK50r SERAT TALA THRAr,21,0.06805675,1.27522271,0.559045649402888,1.18746363785443
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND ENO GLYCTO1 GTPDPK HACD7i INSH NDPK3 P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRAr,21,0.06805675,1.27522271,0.559045649402888,1.18746363785443
ABTA ACONTa ADPT ALCD2x AST ATHRDHr CSND CYTK1 DHMPTR ECOAH6 ECOAH8 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HCO3E HEPCT INSH PDHbr PDHcr PGI PROD2 SERAT TALA THRAr,26,0.06968365,1.27064251,0.835603617204323,1.10688925166955
ABTA ACOAD8f ACONTa ADPT ALCD2x AST ATHRDHr CSND CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HCO3E HEPCT INSH PDHbr PDHcr PGI PROD2 SERAT TALA THRAr,26,0.06968365,1.27064251,0.835603617204323,1.10688925166955
ACONTa ALATA_L AST CSND CYTK1 DHMPTR ECOAH6 ECOAH8 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HCO3E HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ACONTa ALATA_L ALCD2x AST CSND CYTK1 DHMPTR ECOAH6 ECOAH8 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ACOAD8f ACONTa ALATA_L AST CSND CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HCO3E HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ACOAD8f ACONTa ALATA_L ALCD2x AST CSND CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCK GLYCTO1 GTPDPK HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ABTA ACONTa ALATA_L ALCD2x AST ATHRDHr CSND CYTK1 DHMPTR ECOAH6 ECOAH8 ENO FACOAE60 GLYCTO1 HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST ATHRDHr CSND CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCTO1 HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,24,0.06968682,1.27063338,0.835602772518534,1.1068853605493
ACONTa ADPT ALLTAMH AST CSND GLYCTO1 GTPDPK HACD7i INSH NDPK3 P5CD PDHbr PDHcr PGI PGM SERAT TALA THRAr,18,0.06982234,1.27031089,0.585501287983187,1.17729613635908
ACONTa ADPT ALLTAMH AST CSND ENO GLYCTO1 GTPDPK HACD7i INSH NDPK3 P5CD PDHbr PDHcr PGI SERAT TALA THRAr,18,0.06982234,1.27031089,0.585501287983187,1.17729613635908
3HBCD ACONTa AST CSND GLYCTO1 GTPDPK INSH NDPK3 P5CD PDHbr PDHcr PGI PGM SERAT TALA THRAr,16,0.06982552,1.27030174,0.585499255859462,1.17729286847903
3HBCD ACONTa AST CSND ENO GLYCTO1 GTPDPK INSH NDPK3 P5CD PDHbr PDHcr PGI SERAT TALA THRAr,16,0.06982552,1.27030174,0.585499255859462,1.17729286847903
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND GLYCTO1 HACD7i INSH P5CD PDHbr PDHcr PGI PGM PPK50r TALA THRAr,18,0.07046114,1.26894167,0.585109891778646,1.17655837895957
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND ENO GLYCTO1 HACD7i INSH P5CD PDHbr PDHcr PGI PPK50r TALA THRAr,18,0.07046114,1.26894167,0.585109891778646,1.17655837895957
3HBCD ACONTa ADPT ALLTAMH AST CSND GLYCTO1 GTPDPK HACD7i INSH P5CD PDHbr PDHcr PGI PGM PPK50r SERAT TALA THRAr,19,0.07048033,1.26888841,0.585098565798429,1.17653811590045
3HBCD ACONTa ADPT ALLTAMH AST CSND ENO GLYCTO1 GTPDPK HACD7i INSH P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRAr,19,0.07048033,1.26888841,0.585098565798429,1.17653811590045
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST CSND ECOAH6 ENO GLYCTO1 GTPDPK HACD4i INSH P5CD PC PDHa PDHcr PGI TALA THRAr,20,0.07048357,1.2688791,0.610149712904724,1.16904537843899
ABTA ACONTa ALATA_L ALCD2x AST ATHRDHr CYTK1 DHMPTR ECOAH6 ECOAH8 ENO FACOAE60 GLYCTO1 HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,23,0.07037221,1.26836742,0.835290237438898,1.10613075015349
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST ATHRDHr CYTK1 DHMPTR ECOAH6 ENO FACOAE60 GLYCTO1 HEPCT INSH PDHbr PDHcr PGI PMANM PROD2 SERAT TALA THRAr,23,0.07037221,1.26836742,0.835290237438898,1.10613075015349
ADPT AST CS CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,13,0.07010581,1.26265614,1,1.0666177294751
ACONTa ADPT AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,13,0.07010581,1.26265614,1,1.0666177294751
AST CS CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,12,0.07010902,1.2626466,1,1.0666134818387
ACONTa AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,12,0.07010902,1.2626466,1,1.0666134818387
ACONTa ADNK1 ADPT AST CSND CYTK1 ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr RPE THRAr,15,0.07216815,1.26241921,1,1.06281445213839
3HBCD ACONTa ADNK1 ADPT APATr AST CSND CYTK1 ENO GGDAPS GLUR GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM RPE SERAT SSALx THRAr TRSARr,28,0.0721771,1.26237004,0.714664069351637,1.13691707807758
3HBCD ACONTa ADNK1 ADPT APATr AST CSND CSPMDDH CYTK1 ENO GLUR GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM RPE SERAT SSALx THRAr TRSARr,28,0.0721771,1.26237004,0.714664069351637,1.13691707807758
ADNK1 ADPT AST CS ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr TALA THRS,13,0.07226329,1.25770002,1,1.06350646446855
ACONTa ADNK1 ADPT AST ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr TALA THRS,13,0.07226329,1.25770002,1,1.06350646446855
ADPT AST CS ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,11,0.07228347,1.25764226,1,1.06347956455125
ACONTa ADPT AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,11,0.07228347,1.25764226,1,1.06347956455125
AST CS ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,10,0.07228688,1.25763218,1,1.06347507825394
ACONTa AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr TALA THRS,10,0.07228688,1.25763218,1,1.06347507825394
ACONTa ADPT AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr RPE THRAr,13,0.07460489,1.25559418,1,1.05954450965217
ACONTa AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr RPE THRAr,12,0.07460852,1.25558368,1,1.05953972304222
3HBCD ACONTa ADPT APATr AST CSND CYTK1 ENO GLYCTO1 HACD23i ILEDHr INSH KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM RPE SERAT SSALx THRAr TRSARr,24,0.07461445,1.25554248,0.607916429056302,1.16494269471364
3HBCD ACONTa APATr AST CSND CYTK1 ENO GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM RPE SERAT THRAr TRSARr,23,0.07461808,1.25553198,0.754627296762393,1.12265108770105
ABTA ACOAD25f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD INSH NDPK3 OIVD1r ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ABTA ACOAD25f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD INSH MCCC NDPK3 ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ABTA ACOAD25f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD HMGL INSH NDPK3 ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ABTA ACOAD24f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD INSH NDPK3 OIVD1r ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ABTA ACOAD24f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD INSH MCCC NDPK3 ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ABTA ACOAD24f ACOAD8f AGMDA AST CS CSND GLYCTO1 GTPDPK GUAD HMGL INSH NDPK3 ORNCD OXPTNDH P5CD PAPSR PDHa PDHcr PGM PMANM PPM PYK RPE THRAr,25,0.07477714,1.25514462,0.692836741282162,1.13986984075946
ACONTa ADNK1 ADPT AST ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr RPE THRAr,13,0.07549678,1.25359189,1,1.05826296462333
ACONTa ADNK1 ADPT AST ENO GLYCTO1 INSH ORNCD PC PDHbr PDHcr RPE THRAr,13,0.07550657,1.25353931,0.581065064934084,1.17185618559207
ACONTa ADPT AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr RPE THRAr,11,0.0755188,1.25353035,1,1.05823362307598
ACONTa AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr RPE THRAr,10,0.07552253,1.25351962,1,1.058228710043
3HBCD ACONTa ADPT APATr AST CSND ENO GLUR GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM RPE SERAT SSALx THRAr,24,0.0755286,1.25347774,0.845945774183554,1.09672284389196
ACONTa APATr AST ENO GLUR GLYCTO1 HEX1 ORNCD OXPTNDH P5CD PC PDHbr PDHcr PYK RPE SUCOAS THRAr,17,0.07553233,1.25346701,0.75399792380296,1.12158842858928
ACOAD1f ACONTa AST DHMPTR ENO GGGABADxr GLUR GLYCTO1 GTPDPK HACD4i HEX1 OXPTNDH P5CD PC PDHbr PDHcr PYK RPE SUCOAS THRAr,20,0.07569214,1.24913764,0.753364087737511,1.12224745133674
ABUTD ACOAD8f ACONTa ALATA_L ALCD2x AST CSND ENO FALDM GLUDy GLYCTO1 GPDDA4 HACD4i OIVD1r ORNCD P5CD PC PDHa PDHcr TALA THRAr,21,0.07721592,1.24557049,0.605179346435295,1.1630780208293
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST CSND ENO FALDM GLUDy GLYCK GLYCTO1 GPDDA4 HACD4i ORNCD P5CD PC PDHa PDHcr TALA THRAr,21,0.07721592,1.24557049,0.605179346435295,1.1630780208293
ABTA ACOAD8f ALATA_L ALCD2x AST CS CSND ENO GLYCK GLYCTO1 GPDDA4 HACD4i OIVD1r ORNCD P5CD PC PDHa PDHcr TALA THRAr,20,0.07721711,1.24556648,0.7112594605004,1.13206859891565
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST CS CSND ENO GLYCK GLYCTO1 GPDDA4 OIVD1r ORNCD P5CD PC PDHa PDHcr TALA THRAr,20,0.07721711,1.24556648,0.7112594605004,1.13206859891565
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND GLYCTO1 GTPDPK INSH P5CD PDHbr PDHcr PGM PPK50r TALA THRAr,17,0.07735711,1.24120163,0.579226912691025,1.17141237460596
3HBCD ACONTa ADNK1 ADPT ALLTAMH AST CSND ENO GLYCTO1 GTPDPK INSH P5CD PDHbr PDHcr PPK50r TALA THRAr,17,0.07735711,1.24120163,0.579226912691025,1.17141237460596
ADPT AST CS ENO GART GLYCTO1 PDHa PDHcr PROD2 TALA THRAr,11,0.07736995,1.2411904,1,1.05712454693411
ADPT AST CS ENO GART GLYCTO1 P5CD PDHa PDHcr TALA THRAr,11,0.07736995,1.2411904,1,1.05712454693411
ACONTa ADPT AST ENO GART GLYCTO1 PDHa PDHcr PROD2 TALA THRAr,11,0.07736995,1.2411904,1,1.05712454693411
ACONTa ADPT AST ENO GART GLYCTO1 P5CD PDHa PDHcr TALA THRAr,11,0.07736995,1.2411904,1,1.05712454693411
AST CS ENO GART GLYCTO1 PDHa PDHcr PROD2 TALA THRAr,10,0.07737386,1.24117878,1,1.05711952654459
AST CS ENO GART GLYCTO1 P5CD PDHa PDHcr TALA THRAr,10,0.07737386,1.24117878,1,1.05711952654459
ACONTa AST ENO GART GLYCTO1 PDHa PDHcr PROD2 TALA THRAr,10,0.07737386,1.24117878,1,1.05711952654459
ACONTa AST ENO GART GLYCTO1 P5CD PDHa PDHcr TALA THRAr,10,0.07737386,1.24117878,1,1.05711952654459
ACOAD8f ACONTa ADPT AST ATHRDHr ENO GGDAPS GLYCTO1 GTHS GTPDPK GUAD HACD7i HCO3E HEPCT MAN6PI P5CD PDHa PDHcr PPK2r PROD2 SERAT TALA THRAr,23,0.07738023,1.24113486,0.690348426206539,1.13854783994637
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST CS CSND ENO FALDM GLUDy GLYCK GLYCTO1 HACD4i OIVD1r P5CD PC PDHa PDHcr TALA THRAr,21,0.07738295,1.24112732,0.604185805787968,1.16385612881532
ACONTa AST ENO GLYCTO1 P5CD PDHa PDHcr TALA THRAr,9,0.07738414,1.24112324,0.579209770891038,1.17138592181594
ACONTa ADPT AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr THRAr,12,0.0780893,1.23915075,1,1.05618374595177
ACONTa AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr THRAr,11,0.07809328,1.23913892,1,1.05617865149906
3HBCD ACONTa ADPT APATr AST CSND CYTK1 ENO GLUR GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 ORNCD PC PDHbr PDHcr PMANM SERAT SSALx THRAr TRSARr,24,0.07809978,1.23909442,0.603734735232289,1.16314015019639
ACONTa APATr AST CS CSND CYTK1 ENO GLUR GLYCK GLYCTO1 GPDDA4 HACD23i ILEDHr IPDDI KAT8 MCCC ORNCD PDHbr PDHcr SSALx THRAr,21,0.07810376,1.23908259,0.690156018096952,1.13772487458071
23CTI1 ACONTa APATr AST CS CSND CYTK1 ENO GLUR GLYCK GLYCTO1 GPDDA4 ILEDHr IPDDI KAT8 MCCC ORNCD PDHbr PDHcr SSALx THRAr,21,0.07810376,1.23908259,0.690156018096952,1.13772487458071
ABTA ACONTa ADPT APATr AST CS CSND ENO GLUR GLYCK GLYCTO1 GPDDA4 HACD23i INSH IPDDI KAT8 NDPK3 ORNCD PDHbr PDHcr PYK THRAr,22,0.07827404,1.23865228,0.690048578047077,1.13754022728648
23CTI1 ABTA ACONTa ADPT APATr AST CS CSND ENO GLUR GLYCK GLYCTO1 GPDDA4 INSH IPDDI KAT8 NDPK3 ORNCD PDHbr PDHcr PYK THRAr,22,0.07827404,1.23865228,0.690048578047077,1.13754022728648
ABTA ACONTa APATr AST CS CSND ENO GLYCK GLYCTO1 GPDDA4 HACD23i ILEDHr INSH IPDDI KAT8 MCCC NDPK3 ORNCD PDHbr PDHcr PYK THRAr,22,0.07827804,1.2386404,0.578663568990741,1.17048839842713
23CTI1 ABTA ACONTa APATr AST CS CSND ENO GLYCK GLYCTO1 GPDDA4 ILEDHr INSH IPDDI KAT8 MCCC NDPK3 ORNCD PDHbr PDHcr PYK THRAr,22,0.07827804,1.2386404,0.578663568990741,1.17048839842713
ACONTa ADNK1 ADPT AST ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr THRAr,12,0.079067,1.23684789,1,1.05482030062177
ACONTa ADNK1 ADPT AST ENO GLYCTO1 INSH ORNCD PC PDHbr PDHcr THRAr,12,0.07907774,1.23679055,0.576495484064163,1.17013607692548
ACONTa ADPT AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr THRAr,10,0.07909116,1.23677832,1,1.05478906988046
AST CS ENO GART GLYCTO1 ORNCD PDHa PDHcr THRAr,9,0.07909524,1.23676622,1,1.05478386288126
ACONTa AST ENO GART GLYCTO1 ORNCD PDHbr PDHcr THRAr,9,0.07909524,1.23676622,1,1.05478386288126
3HBCD ACONTa ADPT APATr AST CSND ENO GLUR GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM SERAT SSALx THRAr TRSARr,24,0.0791019,1.23672095,0.602903722919424,1.16212339944985
ABTA ACOAD8f ACONTa ALATA_L ALCD2x AST CS CSND ENO FALDM GLYCK GLYCTO1 GPDDA4 HACD4i OIVD1r ORNCD P5CD PC PDHa PDHcr THRAr,21,0.07910475,1.23671309,0.602901848498352,1.16212055961573
3HBCD ACONTa APATr AST CSND ENO GLYCTO1 HACD23i ILEDHr INSH KAT21 KAT8 MCCC ORNCD PC PDHbr PDHcr PMANM SERAT SSALx THRAr TRSARr,22,0.07910599,1.23670885,0.602900741144887,1.1621195531817
3HBCD ACONTa ADNK1 ADPT AST CSND GLYCTO1 GTPDPK HACD7i INSH P5CD PDHbr PDHcr PGI PGM PPK50r SERAT THRAr,18,0.07925293,1.23222057,0.688820211442025,1.13735699238235
3HBCD ACONTa ADNK1 ADPT AST CSND ENO GLYCTO1 GTPDPK HACD7i INSH P5CD PDHbr PDHcr PGI PPK50r SERAT THRAr,18,0.07925293,1.23222057,0.688820211442025,1.13735699238235
ADPT AST CS ENO GART GLYCTO1 PDHa PDHcr PROD2 THRAr,10,0.07926641,1.23220754,1,1.05533680730671
ADPT AST CS ENO GART GLYCTO1 P5CD PDHa PDHcr THRAr,10,0.07926641,1.23220754,1,1.05533680730671
ACONTa ADPT AST ENO GART GLYCTO1 PDHa PDHcr PROD2 THRAr,10,0.07926641,1.23220754,1,1.05533680730671
ACONTa ADPT AST ENO GART GLYCTO1 P5CD PDHa PDHcr THRAr,10,0.07926641,1.23220754,1,1.05533680730671
AST CS ENO GART GLYCTO1 PDHa PDHcr PROD2 THRAr,9,0.07927051,1.23219517,1,1.05533163187456
AST CS ENO GART GLYCTO1 P5CD PDHa PDHcr THRAr,9,0.07927051,1.23219517,1,1.05533163187456
ACONTa AST ENO GART GLYCTO1 PDHa PDHcr PROD2 THRAr,9,0.07927051,1.23219517,1,1.05533163187456
